(-130, -383)
(22, -274)
(375, 396)
(-354, -183)
(-163, -94)
(-246, -390)
(-335, -250)
(261, -129)
(146, 263)
(68, 260)
(181, -176)
(317, 334)
(-170, 372)
(377, 379)
(123, -170)
(311, -249)
(31, -141)
(147, 158)
(-9, -101)
(242, 72)
(90, 213)
(-111, -188)
(-225, 69)
(-390, -148)
(-144, -183)
(359, -155)
(-211, -223)
(-100, -367)
(-353, 72)
(-43, -28)
(-195, 208)
(152, -109)
(-300, -340)
(-284, 177)
(-390, -93)
(-253, -226)
(143, 252)
(-377, -328)
(75, 60)
(-397, -167)
(-314, -48)
(-83, -338)
(353, -130)
(51, 236)
(37, -20)
(-184, 187)
(-326, 204)
(282, 21)
(-350, 58)
(-341, -357)
(139, 111)
(-119, 34)
(131, -342)
(-387, -188)
(-60, 256)
(53, 312)
(-99, -35)
(291, 360)
(-177, -153)
(58, 341)
