S1 : 0 -> 100 : FROM START TO END
S2 : 32 -> 41 : FROM S1 TO S1
S3 : 35 -> 94 : FROM S2 TO S1
S4 : 38 -> 51 : FROM S2 TO S1
S5 : 25 -> 96 : FROM S1 TO S1
S6 : 73 -> 76 : FROM S5 TO S5
S7 : 61 -> 70 : FROM S1 TO S3
S8 : 45 -> 83 : FROM S1 TO S1
S9 : 58 -> 80 : FROM S1 TO S5
S10 : 16 -> 77 : FROM S1 TO S5
S11 : 45 -> 90 : FROM S3 TO S1
S12 : 74 -> 91 : FROM S6 TO S3
S13 : 56 -> 79 : FROM S8 TO S8
S14 : 72 -> 94 : FROM S10 TO S1
S15 : 25 -> 91 : FROM S1 TO S1
S16 : 78 -> 81 : FROM S9 TO S5
S17 : 80 -> 90 : FROM S16 TO S15
S18 : 65 -> 89 : FROM S9 TO S15
S19 : 46 -> 57 : FROM S3 TO S10
S20 : 18 -> 87 : FROM S1 TO S14
S21 : 82 -> 89 : FROM S17 TO S14
S22 : 41 -> 50 : FROM S3 TO S20
S23 : 75 -> 78 : FROM S6 TO S9
S24 : 37 -> 83 : FROM S20 TO S5
S25 : 39 -> 94 : FROM S1 TO S5
S26 : 48 -> 82 : FROM S10 TO S24
S27 : 74 -> 76 : FROM S6 TO S8
S28 : 46 -> 71 : FROM S11 TO S1
S29 : 46 -> 57 : FROM S22 TO S5
S30 : 29 -> 48 : FROM S1 TO S5
S31 : 58 -> 89 : FROM S8 TO S5
S32 : 39 -> 44 : FROM S30 TO S22
S33 : 45 -> 86 : FROM S4 TO S31
S34 : 84 -> 86 : FROM S25 TO S20
S35 : 37 -> 42 : FROM S1 TO S32
S36 : 53 -> 93 : FROM S24 TO S25
S37 : 79 -> 92 : FROM S14 TO S5
S38 : 79 -> 93 : FROM S14 TO S25
S39 : 43 -> 98 : FROM S32 TO S1
S40 : 24 -> 40 : FROM S1 TO S32
S41 : 48 -> 98 : FROM S33 TO S1
S42 : 75 -> 91 : FROM S14 TO S39
S43 : 73 -> 80 : FROM S13 TO S14
S44 : 90 -> 94 : FROM S37 TO S39
S45 : 14 -> 58 : FROM S1 TO S11
S46 : 67 -> 69 : FROM S36 TO S13
S47 : 84 -> 91 : FROM S42 TO S14
S48 : 65 -> 80 : FROM S9 TO S26
S49 : 55 -> 85 : FROM S45 TO S47
S50 : 23 -> 62 : FROM S1 TO S25
S51 : 61 -> 77 : FROM S28 TO S48
S52 : 81 -> 87 : FROM S11 TO S39
S53 : 61 -> 78 : FROM S9 TO S8
S54 : 81 -> 91 : FROM S14 TO S5
S55 : 17 -> 22 : FROM S1 TO S10
S56 : 91 -> 99 : FROM S44 TO S1
S57 : 81 -> 85 : FROM S38 TO S36
S58 : 68 -> 88 : FROM S46 TO S14
S59 : 49 -> 93 : FROM S19 TO S56
S60 : 5 -> 12 : FROM S1 TO S1
S61 : 35 -> 46 : FROM S20 TO S5
S62 : 50 -> 99 : FROM S11 TO S1
S63 : 81 -> 97 : FROM S42 TO S62
S64 : 68 -> 72 : FROM S15 TO S1
S65 : 16 -> 56 : FROM S1 TO S50
S66 : 82 -> 91 : FROM S57 TO S25
S67 : 50 -> 53 : FROM S59 TO S39
S68 : 87 -> 90 : FROM S54 TO S14
S69 : 92 -> 96 : FROM S56 TO S1
S70 : 29 -> 48 : FROM S1 TO S1
S71 : 67 -> 74 : FROM S7 TO S58
S72 : 95 -> 98 : FROM S69 TO S56
S73 : 32 -> 83 : FROM S45 TO S1
S74 : 42 -> 67 : FROM S70 TO S28
S75 : 33 -> 38 : FROM S1 TO S15
S76 : 74 -> 77 : FROM S59 TO S3
S77 : 51 -> 91 : FROM S8 TO S44
S78 : 57 -> 83 : FROM S26 TO S11
S79 : 85 -> 88 : FROM S34 TO S36
S80 : 32 -> 39 : FROM S1 TO S35
S81 : 42 -> 65 : FROM S22 TO S9
S82 : 90 -> 99 : FROM S12 TO S1
S83 : 41 -> 61 : FROM S61 TO S59
S84 : 34 -> 52 : FROM S30 TO S67
S85 : 33 -> 80 : FROM S1 TO S41
S86 : 48 -> 94 : FROM S25 TO S62
S87 : 49 -> 93 : FROM S4 TO S44
S88 : 35 -> 84 : FROM S2 TO S54
S89 : 39 -> 99 : FROM S35 TO S1
S90 : 39 -> 56 : FROM S1 TO S25
S91 : 33 -> 48 : FROM S2 TO S50
S92 : 85 -> 97 : FROM S34 TO S56
S93 : 8 -> 67 : FROM S60 TO S77
S94 : 58 -> 92 : FROM S8 TO S25
S95 : 23 -> 74 : FROM S1 TO S14
S96 : 86 -> 98 : FROM S47 TO S89
S97 : 57 -> 73 : FROM S49 TO S49
S98 : 76 -> 81 : FROM S76 TO S8
S99 : 86 -> 96 : FROM S17 TO S89
S100 : 17 -> 46 : FROM S1 TO S90
S101 : 49 -> 67 : FROM S84 TO S77
S102 : 57 -> 73 : FROM S101 TO S1
S103 : 88 -> 97 : FROM S37 TO S41
S104 : 21 -> 78 : FROM S55 TO S25
S105 : 5 -> 97 : FROM S1 TO S62
S106 : 61 -> 68 : FROM S78 TO S33
S107 : 67 -> 95 : FROM S106 TO S82
S108 : 92 -> 94 : FROM S103 TO S96
S109 : 47 -> 81 : FROM S91 TO S58
S110 : 15 -> 45 : FROM S1 TO S5
S111 : 81 -> 88 : FROM S41 TO S41
S112 : 39 -> 65 : FROM S88 TO S88
S113 : 39 -> 59 : FROM S35 TO S87
S114 : 75 -> 85 : FROM S76 TO S58
S115 : 20 -> 76 : FROM S1 TO S62
S116 : 77 -> 91 : FROM S31 TO S62
S117 : 39 -> 61 : FROM S104 TO S62
S118 : 79 -> 81 : FROM S87 TO S12
S119 : 92 -> 95 : FROM S82 TO S89
S120 : 27 -> 48 : FROM S1 TO S45
S121 : 36 -> 58 : FROM S120 TO S115
S122 : 51 -> 85 : FROM S67 TO S116
S123 : 79 -> 86 : FROM S16 TO S41
S124 : 34 -> 50 : FROM S75 TO S115
S125 : 24 -> 95 : FROM S1 TO S96
S126 : 54 -> 96 : FROM S90 TO S103
S127 : 82 -> 88 : FROM S62 TO S17
S128 : 47 -> 71 : FROM S115 TO S51
S129 : 21 -> 42 : FROM S55 TO S84
S130 : 32 -> 37 : FROM S1 TO S40
S131 : 83 -> 88 : FROM S127 TO S18
S132 : 77 -> 83 : FROM S88 TO S14
S133 : 18 -> 92 : FROM S55 TO S99
S134 : 60 -> 74 : FROM S115 TO S89
S135 : 37 -> 88 : FROM S1 TO S12
S136 : 89 -> 92 : FROM S92 TO S62
S137 : 93 -> 98 : FROM S108 TO S82
S138 : 66 -> 82 : FROM S95 TO S111
S139 : 69 -> 99 : FROM S138 TO S1
S140 : 37 -> 39 : FROM S1 TO S124
S141 : 67 -> 85 : FROM S106 TO S21
S142 : 76 -> 86 : FROM S138 TO S111
S143 : 93 -> 98 : FROM S44 TO S82
S144 : 56 -> 59 : FROM S28 TO S101
S145 : 23 -> 79 : FROM S1 TO S25
S146 : 51 -> 94 : FROM S67 TO S139
S147 : 58 -> 75 : FROM S13 TO S31
S148 : 96 -> 98 : FROM S143 TO S89
S149 : 96 -> 98 : FROM S143 TO S139
S150 : 30 -> 75 : FROM S1 TO S107

Possible Moves : 1, 2, 3, 5, 8
